matchId,queueId,gameDuration,summonerName,teamId,championName,kills,deaths,assists,kda,totalMinionsKilled,totalDamageTaken,totalDamageDealtToChampions,goldEarned,visionScore,summoner1Id,summoner2Id,firstTowerKill,firstBloodAssist,firstBloodKill,champExperience,doubleKills,tripleKills,quadraKills,pentaKills,win,gameDurationMin,gameStartTime
BR1_3056297349,420,2591,Arthur Lanches,0,Teemo,10,5,8,3.6,284,38386,61402,18922,41,4,14,False,False,False,24697,1,1,0,0,False,43.2,2025-01-21 22:34:50.771
BR1_3056274825,420,2016,Arthur Lanches,0,Teemo,9,5,11,4.0,262,23275,40662,15212,13,6,14,False,True,False,21800,0,0,0,0,True,33.6,2025-01-21 21:48:44.140
BR1_3056258604,420,1680,Arthur Lanches,1,Teemo,7,5,2,1.8,221,16425,26102,12782,20,4,14,False,False,False,15005,1,0,0,0,False,28.0,2025-01-21 21:08:13.383
BR1_3056244802,420,1415,Arthur Lanches,1,Teemo,4,3,5,3.0,162,11618,13476,9497,13,4,14,False,False,True,13455,0,0,0,0,True,23.6,2025-01-21 20:30:02.195
BR1_3056233795,420,912,Arthur Lanches,1,Teemo,2,0,0,2.0,136,5678,9693,6297,6,4,14,False,False,False,8758,0,0,0,0,True,15.2,2025-01-21 20:01:36.744
BR1_3055908330,420,1876,Arthur Lanches,1,Teemo,7,7,4,1.57,234,24133,33781,13063,21,4,14,False,False,False,15303,0,0,0,0,False,31.3,2025-01-20 22:36:35.982
BR1_3055878998,420,1976,Arthur Lanches,1,Teemo,14,1,6,20.0,207,31881,48151,14818,21,4,14,False,False,False,18328,2,1,0,0,True,32.9,2025-01-20 21:40:27.551
BR1_3055864758,420,1306,Arthur Lanches,0,Teemo,4,3,3,2.33,165,12278,16411,8417,11,4,14,False,False,False,10451,0,0,0,0,False,21.8,2025-01-20 21:05:20.604
BR1_3055849402,420,1652,Arthur Lanches,0,Teemo,6,0,11,17.0,205,17631,22736,13248,17,4,14,False,False,False,16815,0,0,0,0,True,27.5,2025-01-20 20:25:28.237
BR1_3055834533,420,1805,Arthur Lanches,0,Teemo,8,4,12,5.0,203,24958,31497,13945,24,4,6,False,False,False,18096,0,0,0,0,True,30.1,2025-01-20 19:46:21.644
BR1_3055816675,420,2088,Arthur Lanches,1,Teemo,5,8,9,1.75,233,31799,27650,13794,28,4,14,False,False,False,17595,0,0,0,0,True,34.8,2025-01-20 18:58:24.487
BR1_3055806056,420,1513,Arthur Lanches,1,Teemo,2,6,1,0.5,185,17601,13693,9981,13,4,14,False,False,False,11661,0,0,0,0,False,25.2,2025-01-20 18:23:16.194
BR1_3055788872,420,1762,Arthur Lanches,0,Teemo,5,2,5,5.0,200,20285,24833,12694,14,4,14,False,False,True,16297,1,0,0,0,True,29.4,2025-01-20 17:36:42.675
BR1_3055664487,420,3140,Arthur Lanches,0,Malphite,7,11,19,2.36,267,83843,42637,17248,29,4,12,False,False,False,23438,0,0,0,0,False,52.3,2025-01-20 03:24:19.133
BR1_3055592300,420,1465,Arthur Lanches,0,Teemo,5,5,3,1.6,185,18946,22222,9545,16,4,14,False,False,False,12604,0,0,0,0,False,24.4,2025-01-20 00:56:02.782
BR1_3055568140,420,1702,Arthur Lanches,1,Teemo,6,0,5,11.0,208,14474,21350,12545,25,4,14,False,False,False,16145,1,0,0,0,True,28.4,2025-01-20 00:14:14.104
BR1_3055539939,420,1747,Arthur Lanches,1,Teemo,10,1,10,20.0,240,23795,42348,15345,24,4,14,True,False,False,18643,0,0,0,0,True,29.1,2025-01-19 23:27:11.172
BR1_3055520156,420,1789,Arthur Lanches,0,Teemo,9,11,11,1.82,205,36441,32884,12897,11,4,14,False,False,True,15251,1,0,0,0,False,29.8,2025-01-19 22:48:19.820
BR1_3054597829,420,2140,Arthur Lanches,0,Teemo,18,7,10,4.0,217,34253,49968,16329,21,4,14,False,False,True,19708,1,0,0,0,False,35.7,2025-01-17 23:50:23.770
BR1_3054577295,420,1646,Arthur Lanches,1,Teemo,2,0,6,8.0,217,8220,21935,10314,14,4,14,False,False,False,14429,0,0,0,0,True,27.4,2025-01-17 23:06:58.632
BR1_3054559515,420,1579,Arthur Lanches,1,Teemo,9,6,4,2.17,172,18760,24351,11637,16,4,14,False,False,False,14724,0,0,0,0,False,26.3,2025-01-17 22:29:50.365
